Year,Coach,G,W,L,T,W-L%,G,W,L,Result,Offense,Defense,Team
1946,George Halas,11,8,2,1,0.8,1,1,0,Won Champ,,,Bears
1945,Hunk Anderson,10,3,7,0,0.3,0,0,0,,,,Bears
,Luke Johnsos,10,3,7,0,0.3,0,0,0,,,,Bears
1944,Hunk Anderson,10,6,3,1,0.667,0,0,0,,,,Bears
,Luke Johnsos,10,6,3,1,0.667,0,0,0,,,,Bears
1943,Hunk Anderson,10,8,1,1,0.889,1,1,0,Won Champ,,,Bears
,Luke Johnsos,10,8,1,1,0.889,1,1,0,Won Champ,,,Bears
1942,Hunk Anderson,6,6,0,0,1,1,0,1,Lost Champ,,,Bears
,Luke Johnsos,6,6,0,0,1,1,0,1,Lost Champ,,,Bears
,George Halas,5,5,0,0,1,0,0,0,Lost Champ,,,Bears
1941,George Halas,11,10,1,0,0.909,2,2,0,Won Champ,,,Bears
1940,George Halas,11,8,3,0,0.727,1,1,0,Won Champ,,,Bears
1939,George Halas,11,8,3,0,0.727,0,0,0,,,,Bears
1938,George Halas,11,6,5,0,0.545,0,0,0,,,,Bears
1937,George Halas,11,9,1,1,0.9,1,0,1,Lost Champ,,,Bears
1936,George Halas,12,9,3,0,0.75,0,0,0,,,,Bears
1935,George Halas,12,6,4,2,0.6,0,0,0,,,,Bears
1934,George Halas,13,13,0,0,1,1,0,1,Lost Champ,,,Bears
1933,George Halas,13,10,2,1,0.833,1,1,0,Won Champ,,,Bears
1932,Ralph Jones,14,7,1,6,0.875,0,0,0,Won Champ,,,Bears
1931,Ralph Jones,13,8,5,0,0.615,0,0,0,,,,Bears
1930,Ralph Jones,14,9,4,1,0.692,0,0,0,,,,Bears
1929,George Halas,15,4,9,2,0.308,0,0,0,,,,Bears
1928,George Halas,13,7,5,1,0.583,0,0,0,,,,Bears
1927,George Halas,14,9,3,2,0.75,0,0,0,,,,Bears
1926,George Halas,16,12,1,3,0.923,0,0,0,,,,Bears
1925,George Halas,17,9,5,3,0.643,0,0,0,,,,Bears
1924,George Halas,11,6,1,4,0.857,0,0,0,,,,Bears
1923,George Halas,12,9,2,1,0.818,0,0,0,,,,Bears
1922,George Halas,12,9,3,0,0.75,0,0,0,,,,Bears
1921,George Halas,11,9,1,1,0.9,0,0,0,Won Champ,,,Bears
1920,George Halas,13,10,1,2,0.909,0,0,0,,,,Bears
2018,Mike Zimmer,16,8,7,1,0.531,,,,,John DeFilippo,George Edwards,Vikings
2017,Mike Zimmer,16,13,3,0,0.813,2,1,1,Lost Conf,Pat Shurmur,George Edwards,Vikings
2016,Mike Zimmer,16,8,8,0,0.5,,,,,"Pat Shurmur, Norv Turner",George Edwards,Vikings
2015,Mike Zimmer,16,11,5,0,0.688,1,0,1,Lost WC,Norv Turner,George Edwards,Vikings
2014,Mike Zimmer,16,7,9,0,0.438,0,0,0,,Norv Turner,George Edwards,Vikings
2013,Leslie Frazier,16,5,10,1,0.344,0,0,0,,Bill Musgrave,Alan Williams,Vikings
2012,Leslie Frazier,16,10,6,0,0.625,1,0,1,Lost WC,Bill Musgrave,Alan Williams,Vikings
2011,Leslie Frazier,16,3,13,0,0.188,0,0,0,,Bill Musgrave,Fred Pagac,Vikings
2010,Leslie Frazier,6,3,3,0,0.5,0,0,0,,Darrell Bevell,Fred Pagac,Vikings
,Brad Childress,10,3,7,0,0.3,0,0,0,,Darrell Bevell,"Leslie Frazier, Fred Pagac",Vikings
2009,Brad Childress,16,12,4,0,0.75,2,1,1,Lost Conf,Darrell Bevell,Leslie Frazier,Vikings
2008,Brad Childress,16,10,6,0,0.625,1,0,1,Lost WC,Darrell Bevell,Leslie Frazier,Vikings
2007,Brad Childress,16,8,8,0,0.5,0,0,0,,Darrell Bevell,Leslie Frazier,Vikings
2006,Brad Childress,16,6,10,0,0.375,0,0,0,,Darrell Bevell,Mike Tomlin,Vikings
2005,Mike Tice,16,9,7,0,0.563,0,0,0,,Steve Loney,Ted Cottrell,Vikings
2004,Mike Tice,16,8,8,0,0.5,2,1,1,Lost Div,Scott Linehan,Ted Cottrell,Vikings
2003,Mike Tice,16,9,7,0,0.563,0,0,0,,Scott Linehan,George O'Leary,Vikings
2002,Mike Tice,16,6,10,0,0.375,0,0,0,,Scott Linehan,Willie Shaw,Vikings
2001,Mike Tice,1,0,1,0,0,0,0,0,,Sherman Lewis,Emmitt Thomas,Vikings
,Dennis Green,15,5,10,0,0.333,0,0,0,,Sherman Lewis,Emmitt Thomas,Vikings
2000,Dennis Green,16,11,5,0,0.688,2,1,1,Lost Conf,Sherman Lewis,Emmitt Thomas,Vikings
1999,Dennis Green,16,10,6,0,0.625,2,1,1,Lost Div,Ray Sherman,Foge Fazio,Vikings
1998,Dennis Green,16,15,1,0,0.938,2,1,1,Lost Conf,Brian Billick,Foge Fazio,Vikings
1997,Dennis Green,16,9,7,0,0.563,2,1,1,Lost Div,Brian Billick,Foge Fazio,Vikings
1996,Dennis Green,16,9,7,0,0.563,1,0,1,Lost WC,Brian Billick,Foge Fazio,Vikings
1995,Dennis Green,16,8,8,0,0.5,0,0,0,,Brian Billick,Tony Dungy,Vikings
1994,Dennis Green,16,10,6,0,0.625,1,0,1,Lost WC,Brian Billick,Tony Dungy,Vikings
1993,Dennis Green,16,9,7,0,0.563,1,0,1,Lost WC,"Brian Billick, Jack Burns",Tony Dungy,Vikings
1992,Dennis Green,16,11,5,0,0.688,1,0,1,Lost WC,Jack Burns,Tony Dungy,Vikings
1991,Jerry Burns,16,8,8,0,0.5,0,0,0,,Tom Moore,Monte Kiffin,Vikings
1990,Jerry Burns,16,6,10,0,0.375,0,0,0,,Bob Schnelker,Floyd Peters,Vikings
1989,Jerry Burns,16,10,6,0,0.625,1,0,1,Lost Div,Bob Schnelker,Floyd Peters,Vikings
1988,Jerry Burns,16,11,5,0,0.688,2,1,1,Lost Div,Bob Schnelker,Floyd Peters,Vikings
1987,Jerry Burns,15,8,7,0,0.533,3,2,1,Lost Conf,Bob Schnelker,Floyd Peters,Vikings
1986,Jerry Burns,16,9,7,0,0.563,0,0,0,,Bob Schnelker,Floyd Peters,Vikings
1985,Bud Grant,16,7,9,0,0.438,0,0,0,,Jerry Burns,Bob Hollway,Vikings
1984,Les Steckel,16,3,13,0,0.188,0,0,0,,Jerry Burns,Floyd Reese,Vikings
1983,Bud Grant,16,8,8,0,0.5,0,0,0,,Jerry Burns,Bob Hollway,Vikings
1982,Bud Grant,9,5,4,0,0.556,2,1,1,Lost Div,Jerry Burns,Bob Hollway,Vikings
1981,Bud Grant,16,7,9,0,0.438,0,0,0,,Jerry Burns,Bob Hollway,Vikings
1980,Bud Grant,16,9,7,0,0.563,1,0,1,Lost Div,Jerry Burns,Bob Hollway,Vikings
1979,Bud Grant,16,7,9,0,0.438,0,0,0,,Jerry Burns,Bob Hollway,Vikings
1978,Bud Grant,16,8,7,1,0.531,1,0,1,Lost Div,Jerry Burns,Bob Hollway,Vikings
1977,Bud Grant,14,9,5,0,0.643,2,1,1,Lost Conf,Jerry Burns,Buddy Ryan,Vikings
1976,Bud Grant,14,11,2,1,0.821,3,2,1,Lost SB,Jerry Burns,Buddy Ryan,Vikings
1975,Bud Grant,14,12,2,0,0.857,1,0,1,Lost Div,Jerry Burns,,Vikings
1974,Bud Grant,14,10,4,0,0.714,3,2,1,Lost SB,Jerry Burns,,Vikings
1973,Bud Grant,14,12,2,0,0.857,3,2,1,Lost SB,Jerry Burns,,Vikings
1972,Bud Grant,14,7,7,0,0.5,0,0,0,,Jerry Burns,,Vikings
1971,Bud Grant,14,11,3,0,0.786,1,0,1,Lost Div,Jerry Burns,,Vikings
1970,Bud Grant,14,12,2,0,0.857,1,0,1,Lost Div,Jerry Burns,,Vikings
1969,Bud Grant,14,12,2,0,0.857,3,2,1,Lost SB,Jerry Burns,,Vikings
1968,Bud Grant,14,8,6,0,0.571,1,0,1,Lost Div,Jerry Burns,,Vikings
1967,Bud Grant,14,3,8,3,0.273,0,0,0,,,,Vikings
1966,Norm Van Brocklin,14,4,9,1,0.308,0,0,0,,,,Vikings
1965,Norm Van Brocklin,14,7,7,0,0.5,0,0,0,,,,Vikings
1964,Norm Van Brocklin,14,8,5,1,0.615,0,0,0,,,,Vikings
1963,Norm Van Brocklin,14,5,8,1,0.385,0,0,0,,,,Vikings
1962,Norm Van Brocklin,14,2,11,1,0.154,0,0,0,,,,Vikings
1961,Norm Van Brocklin,14,3,11,0,0.214,0,0,0,,,,Vikings
2018,Matt Patricia,16,6,10,0,0.375,,,,,Jim Bob Cooter,Paul Pasqualoni,Lions
2017,Jim Caldwell,16,9,7,0,0.563,,,,,Jim Bob Cooter,Teryl Austin,Lions
2016,Jim Caldwell,16,9,7,0,0.563,1,0,1,Lost WC,Jim Bob Cooter,Teryl Austin,Lions
2015,Jim Caldwell,16,7,9,0,0.438,,,,,"Jim Bob Cooter, Joe Lombardi",Teryl Austin,Lions
2014,Jim Caldwell,16,11,5,0,0.688,1,0,1,Lost WC,Joe Lombardi,Teryl Austin,Lions
2013,Jim Schwartz,16,7,9,0,0.438,0,0,0,,Scott Linehan,Gunther Cunningham,Lions
2012,Jim Schwartz,16,4,12,0,0.25,0,0,0,,Scott Linehan,Gunther Cunningham,Lions
2011,Jim Schwartz,16,10,6,0,0.625,1,0,1,Lost WC,Scott Linehan,Gunther Cunningham,Lions
2010,Jim Schwartz,16,6,10,0,0.375,0,0,0,,Scott Linehan,Gunther Cunningham,Lions
2009,Jim Schwartz,16,2,14,0,0.125,0,0,0,,Scott Linehan,Gunther Cunningham,Lions
2008,Rod Marinelli,16,0,16,0,0,0,0,0,,Jim Colletto,Joe Barry,Lions
2007,Rod Marinelli,16,7,9,0,0.438,0,0,0,,Mike Martz,Joe Barry,Lions
2006,Rod Marinelli,16,3,13,0,0.188,0,0,0,,Mike Martz,Donnie Henderson,Lions
2005,Dick Jauron,5,1,4,0,0.2,0,0,0,,"Greg Olson, Ted Tollner",,Lions
,Steve Mariucci,11,4,7,0,0.364,0,0,0,,"Greg Olson, Ted Tollner",Dick Jauron,Lions
2004,Steve Mariucci,16,6,10,0,0.375,0,0,0,,Sherman Lewis,Dick Jauron,Lions
2003,Steve Mariucci,16,5,11,0,0.313,0,0,0,,Sherman Lewis,Kurt Schottenheimer,Lions
2002,Marty Mornhinweg,16,3,13,0,0.188,0,0,0,,Maurice Carthon,Kurt Schottenheimer,Lions
2001,Marty Mornhinweg,16,2,14,0,0.125,0,0,0,,Maurice Carthon,Vince Tobin,Lions
2000,Gary Moeller,7,4,3,0,0.571,0,0,0,,Sylvester Croom,Larry Peccatiello,Lions
,Bobby Ross,9,5,4,0,0.556,0,0,0,,Sylvester Croom,Larry Peccatiello,Lions
1999,Bobby Ross,16,8,8,0,0.5,1,0,1,Lost WC,Sylvester Croom,Larry Peccatiello,Lions
1998,Bobby Ross,16,5,11,0,0.313,0,0,0,,Sylvester Croom,Larry Peccatiello,Lions
1997,Bobby Ross,16,9,7,0,0.563,1,0,1,Lost WC,Sylvester Croom,Larry Peccatiello,Lions
1996,Wayne Fontes,16,5,11,0,0.313,0,0,0,,Tom Moore,Jim Eddy,Lions
1995,Wayne Fontes,16,10,6,0,0.625,1,0,1,Lost WC,Tom Moore,Herb Paterra,Lions
1994,Wayne Fontes,16,9,7,0,0.563,1,0,1,Lost WC,Dave Levy,Herb Paterra,Lions
1993,Wayne Fontes,16,10,6,0,0.625,1,0,1,Lost WC,"Dan Henning, Dave Levy",Hank Bullough,Lions
1992,Wayne Fontes,16,5,11,0,0.313,0,0,0,,Dan Henning,Woody Widenhofer,Lions
1991,Wayne Fontes,16,12,4,0,0.75,2,1,1,Lost Conf,Dave Levy,Woody Widenhofer,Lions
1990,Wayne Fontes,16,6,10,0,0.375,0,0,0,,Mouse Davis,Woody Widenhofer,Lions
1989,Wayne Fontes,16,7,9,0,0.438,0,0,0,,Mouse Davis,Woody Widenhofer,Lions
1988,Wayne Fontes,5,2,3,0,0.4,0,0,0,,"Bob Baker, Lew Carpenter",,Lions
,Darryl Rogers,11,2,9,0,0.182,0,0,0,,"Bob Baker, Lew Carpenter",Wayne Fontes,Lions
1987,Darryl Rogers,15,4,11,0,0.267,0,0,0,,Bob Baker,Wayne Fontes,Lions
1986,Darryl Rogers,16,5,11,0,0.313,0,0,0,,Bob Baker,Wayne Fontes,Lions
1985,Darryl Rogers,16,7,9,0,0.438,0,0,0,,Bob Baker,Wayne Fontes,Lions
1984,Monte Clark,16,4,11,1,0.281,0,0,0,,Bill Nelsen,Ed Beard,Lions
1983,Monte Clark,16,9,7,0,0.563,1,0,1,Lost Div,Ted Marchibroda,Ed Beard,Lions
1982,Monte Clark,9,4,5,0,0.444,1,0,1,Lost WC,Ted Marchibroda,Maxie Baughan,Lions
1981,Monte Clark,16,8,8,0,0.5,0,0,0,,Bob Schnelker,Maxie Baughan,Lions
1980,Monte Clark,16,9,7,0,0.563,0,0,0,,Bob Schnelker,Maxie Baughan,Lions
1979,Monte Clark,16,2,14,0,0.125,0,0,0,,Bob Schnelker,,Lions
1978,Monte Clark,16,7,9,0,0.438,0,0,0,,Bob Schnelker,,Lions
1977,Tommy Hudspeth,14,6,8,0,0.429,0,0,0,,Ed Hughes,,Lions
1976,Rick Forzano,4,1,3,0,0.25,0,0,0,,,,Lions
,Tommy Hudspeth,10,5,5,0,0.5,0,0,0,,,,Lions
1975,Rick Forzano,14,7,7,0,0.5,0,0,0,,,,Lions
1974,Rick Forzano,14,7,7,0,0.5,0,0,0,,,,Lions
1973,Don McCafferty,14,6,7,1,0.464,0,0,0,,,,Lions
1972,Joe Schmidt,14,8,5,1,0.607,0,0,0,,,,Lions
1971,Joe Schmidt,14,7,6,1,0.538,0,0,0,,,,Lions
1970,Joe Schmidt,14,10,4,0,0.714,1,0,1,Lost Div,,,Lions
1969,Joe Schmidt,14,9,4,1,0.692,0,0,0,,,,Lions
1968,Joe Schmidt,14,4,8,2,0.333,0,0,0,,,,Lions
1967,Joe Schmidt,14,5,7,2,0.417,0,0,0,,,,Lions
1966,Harry Gilmer,14,4,9,1,0.308,0,0,0,,,,Lions
1965,Harry Gilmer,14,6,7,1,0.462,0,0,0,,,,Lions
1964,George Wilson,14,7,5,2,0.583,0,0,0,,,,Lions
1963,George Wilson,14,5,8,1,0.385,0,0,0,,,,Lions
1962,George Wilson,14,11,3,0,0.786,0,0,0,,,,Lions
1961,George Wilson,14,8,5,1,0.615,0,0,0,,,,Lions
1960,George Wilson,12,7,5,0,0.583,0,0,0,,,,Lions
1959,George Wilson,12,3,8,1,0.273,0,0,0,,,,Lions
1958,George Wilson,12,4,7,1,0.364,0,0,0,,,,Lions
1957,George Wilson,12,8,4,0,0.667,2,2,0,Won Champ,,,Lions
1956,Buddy Parker,12,9,3,0,0.75,0,0,0,,,,Lions
1955,Buddy Parker,12,3,9,0,0.25,0,0,0,,,,Lions
1954,Buddy Parker,12,9,2,1,0.818,1,0,1,Lost Champ,,,Lions
1953,Buddy Parker,12,10,2,0,0.833,1,1,0,Won Champ,,,Lions
1952,Buddy Parker,12,9,3,0,0.75,2,2,0,Won Champ,,,Lions
1951,Buddy Parker,12,7,4,1,0.636,0,0,0,,,,Lions
1950,Bo McMillin,12,6,6,0,0.5,0,0,0,,,,Lions
1949,Bo McMillin,12,4,8,0,0.333,0,0,0,,,,Lions
1948,Bo McMillin,12,2,10,0,0.167,0,0,0,,,,Lions
1947,Gus Dorais,12,3,9,0,0.25,0,0,0,,,,Lions
1946,Gus Dorais,11,1,10,0,0.091,0,0,0,,,,Lions
1945,Gus Dorais,10,7,3,0,0.7,0,0,0,,,,Lions
1944,Gus Dorais,10,6,3,1,0.667,0,0,0,,,,Lions
1943,Gus Dorais,10,3,6,1,0.333,0,0,0,,,,Lions
1942,Bill Edwards,3,0,3,0,0,0,0,0,,,,Lions
,Bull Karcis,8,0,8,0,0,0,0,0,,,,Lions
1941,Bill Edwards,11,4,6,1,0.4,0,0,0,,,,Lions
1940,Potsy Clark,11,5,5,1,0.5,0,0,0,,,,Lions
1939,Gus Henderson,11,6,5,0,0.545,0,0,0,,,,Lions
1938,Dutch Clark,11,7,4,0,0.636,0,0,0,,,,Lions
1937,Dutch Clark,11,7,4,0,0.636,0,0,0,,,,Lions
1936,Potsy Clark,12,8,4,0,0.667,0,0,0,,,,Lions
1935,Potsy Clark,12,7,3,2,0.7,1,1,0,Won Champ,,,Lions
1934,Potsy Clark,13,10,3,0,0.769,0,0,0,,,,Lions
1933,Potsy Clark,11,6,5,0,0.545,0,0,0,,,,Lions
1932,Potsy Clark,12,6,2,4,0.75,0,0,0,,,,Lions
1931,Potsy Clark,14,11,3,0,0.786,0,0,0,,,,Lions
1930,Hal Griffen,14,5,6,3,0.455,0,0,0,,,,Lions
2018,Joe Philbin,4,2,2,0,0.5,,,,,,Mike Pettine,Packers
,Mike McCarthy,12,4,7,1,0.375,,,,,Joe Philbin,Mike Pettine,Packers
2017,Mike McCarthy,16,7,9,0,0.438,,,,,Edgar Bennett,Dom Capers,Packers
2016,Mike McCarthy,16,10,6,0,0.625,3,2,1,Lost Conf,Edgar Bennett,Dom Capers,Packers
2015,Mike McCarthy,16,10,6,0,0.625,2,1,1,Lost Div,Edgar Bennett,Dom Capers,Packers
2014,Mike McCarthy,16,12,4,0,0.75,2,1,1,Lost Conf,Tom Clements,Dom Capers,Packers
2013,Mike McCarthy,16,8,7,1,0.531,1,0,1,Lost WC,Tom Clements,Dom Capers,Packers
2012,Mike McCarthy,16,11,5,0,0.688,2,1,1,Lost Div,Tom Clements,Dom Capers,Packers
2011,Mike McCarthy,16,15,1,0,0.938,1,0,1,Lost Div,Joe Philbin,Dom Capers,Packers
2010,Mike McCarthy,16,10,6,0,0.625,4,4,0,Won SB,Joe Philbin,Dom Capers,Packers
2009,Mike McCarthy,16,11,5,0,0.688,1,0,1,Lost WC,Joe Philbin,Dom Capers,Packers
2008,Mike McCarthy,16,6,10,0,0.375,0,0,0,,Joe Philbin,Bob Sanders,Packers
2007,Mike McCarthy,16,13,3,0,0.813,2,1,1,Lost Conf,Joe Philbin,Bob Sanders,Packers
2006,Mike McCarthy,16,8,8,0,0.5,0,0,0,,Jeff Jagodzinski,Bob Sanders,Packers
2005,Mike Sherman,16,4,12,0,0.25,0,0,0,,Tom Rossley,Jim Bates,Packers
2004,Mike Sherman,16,10,6,0,0.625,1,0,1,Lost WC,Tom Rossley,Bob Slowik,Packers
2003,Mike Sherman,16,10,6,0,0.625,2,1,1,Lost Div,Tom Rossley,Ed Donatell,Packers
2002,Mike Sherman,16,12,4,0,0.75,1,0,1,Lost WC,Tom Rossley,Ed Donatell,Packers
2001,Mike Sherman,16,12,4,0,0.75,2,1,1,Lost Div,Tom Rossley,Ed Donatell,Packers
2000,Mike Sherman,16,9,7,0,0.563,0,0,0,,Tom Rossley,Ed Donatell,Packers
1999,Ray Rhodes,16,8,8,0,0.5,0,0,0,,Sherman Lewis,Emmitt Thomas,Packers
1998,Mike Holmgren,16,11,5,0,0.688,1,0,1,Lost WC,Sherman Lewis,Fritz Shurmur,Packers
1997,Mike Holmgren,16,13,3,0,0.813,3,2,1,Lost SB,Sherman Lewis,Fritz Shurmur,Packers
1996,Mike Holmgren,16,13,3,0,0.813,3,3,0,Won SB,Sherman Lewis,Fritz Shurmur,Packers
1995,Mike Holmgren,16,11,5,0,0.688,3,2,1,Lost Conf,Sherman Lewis,Fritz Shurmur,Packers
1994,Mike Holmgren,16,9,7,0,0.563,2,1,1,Lost Div,Sherman Lewis,Fritz Shurmur,Packers
1993,Mike Holmgren,16,9,7,0,0.563,2,1,1,Lost Div,Sherman Lewis,Ray Rhodes,Packers
1992,Mike Holmgren,16,9,7,0,0.563,0,0,0,,Sherman Lewis,Ray Rhodes,Packers
1991,Lindy Infante,16,4,12,0,0.25,0,0,0,,,Hank Bullough,Packers
1990,Lindy Infante,16,6,10,0,0.375,0,0,0,,,Hank Bullough,Packers
1989,Lindy Infante,16,10,6,0,0.625,0,0,0,,,Hank Bullough,Packers
1988,Lindy Infante,16,4,12,0,0.25,0,0,0,,,Hank Bullough,Packers
1987,Forrest Gregg,15,5,9,1,0.367,0,0,0,,,Dick Modzelewski,Packers
1986,Forrest Gregg,16,4,12,0,0.25,0,0,0,,,Dick Modzelewski,Packers
1985,Forrest Gregg,16,8,8,0,0.5,0,0,0,,Bob Schnelker,Dick Modzelewski,Packers
1984,Forrest Gregg,16,8,8,0,0.5,0,0,0,,Bob Schnelker,Dick Modzelewski,Packers
1983,Bart Starr,16,8,8,0,0.5,0,0,0,,Bob Schnelker,John Meyer,Packers
1982,Bart Starr,9,5,3,1,0.611,2,1,1,Lost Div,Bob Schnelker,John Meyer,Packers
1981,Bart Starr,16,8,8,0,0.5,0,0,0,,,John Meyer,Packers
1980,Bart Starr,16,5,10,1,0.344,0,0,0,,,John Meyer,Packers
1979,Bart Starr,16,5,11,0,0.313,0,0,0,,,Dave Hanner,Packers
1978,Bart Starr,16,8,7,1,0.531,0,0,0,,,Dave Hanner,Packers
1977,Bart Starr,14,4,10,0,0.286,0,0,0,,,Dave Hanner,Packers
1976,Bart Starr,14,5,9,0,0.357,0,0,0,,Paul Roach,Dave Hanner,Packers
1975,Bart Starr,14,4,10,0,0.286,0,0,0,,Paul Roach,Dave Hanner,Packers
1974,Dan Devine,14,6,8,0,0.429,0,0,0,,,Dave Hanner,Packers
1973,Dan Devine,14,5,7,2,0.429,0,0,0,,,Dave Hanner,Packers
1972,Dan Devine,14,10,4,0,0.714,1,0,1,Lost Div,,Dave Hanner,Packers
1971,Dan Devine,14,4,8,2,0.333,0,0,0,,,,Packers
1970,Phil Bengtson,14,6,8,0,0.429,0,0,0,,,,Packers
1969,Phil Bengtson,14,8,6,0,0.571,0,0,0,,,,Packers
1968,Phil Bengtson,14,6,7,1,0.462,0,0,0,,,,Packers
1967,Vince Lombardi,14,9,4,1,0.692,3,3,0,Won SB,,,Packers
1966,Vince Lombardi,14,12,2,0,0.857,2,2,0,Won SB,,,Packers
1965,Vince Lombardi,14,10,3,1,0.769,2,2,0,Won Champ,,,Packers
1964,Vince Lombardi,14,8,5,1,0.615,0,0,0,,,,Packers
1963,Vince Lombardi,14,11,2,1,0.846,0,0,0,,,,Packers
1962,Vince Lombardi,14,13,1,0,0.929,1,1,0,Won Champ,,,Packers
1961,Vince Lombardi,14,11,3,0,0.786,1,1,0,Won Champ,,,Packers
1960,Vince Lombardi,12,8,4,0,0.667,1,0,1,Lost Champ,,,Packers
1959,Vince Lombardi,12,7,5,0,0.583,0,0,0,,,,Packers
1958,Ray McLean,12,1,10,1,0.091,0,0,0,,,,Packers
1957,Lisle Blackbourn,12,3,9,0,0.25,0,0,0,,,,Packers
1956,Lisle Blackbourn,12,4,8,0,0.333,0,0,0,,,,Packers
1955,Lisle Blackbourn,12,6,6,0,0.5,0,0,0,,,,Packers
1954,Lisle Blackbourn,12,4,8,0,0.333,0,0,0,,,,Packers
1953,Gene Ronzani,10,2,7,1,0.222,0,0,0,,,,Packers
,Ray McLean,2,0,2,0,0,0,0,0,,,,Packers
,Hugh Devore,2,0,2,0,0,0,0,0,,,,Packers
1952,Gene Ronzani,12,6,6,0,0.5,0,0,0,,,,Packers
1951,Gene Ronzani,12,3,9,0,0.25,0,0,0,,,,Packers
1950,Gene Ronzani,12,3,9,0,0.25,0,0,0,,,,Packers
1949,Curly Lambeau,12,2,10,0,0.167,0,0,0,,,,Packers
1948,Curly Lambeau,12,3,9,0,0.25,0,0,0,,,,Packers
1947,Curly Lambeau,12,6,5,1,0.545,0,0,0,,,,Packers
1946,Curly Lambeau,11,6,5,0,0.545,0,0,0,,,,Packers
1945,Curly Lambeau,10,6,4,0,0.6,0,0,0,,,,Packers
1944,Curly Lambeau,10,8,2,0,0.8,1,1,0,Won Champ,,,Packers
1943,Curly Lambeau,10,7,2,1,0.778,0,0,0,,,,Packers
1942,Curly Lambeau,11,8,2,1,0.8,0,0,0,,,,Packers
1941,Curly Lambeau,11,10,1,0,0.909,1,0,1,Lost Div,,,Packers
1940,Curly Lambeau,11,6,4,1,0.6,0,0,0,,,,Packers
1939,Curly Lambeau,11,9,2,0,0.818,1,1,0,Won Champ,,,Packers
1938,Curly Lambeau,11,8,3,0,0.727,1,0,1,Lost Champ,,,Packers
1937,Curly Lambeau,11,7,4,0,0.636,0,0,0,,,,Packers
1936,Curly Lambeau,12,10,1,1,0.909,1,1,0,Won Champ,,,Packers
1935,Curly Lambeau,12,8,4,0,0.667,0,0,0,,,,Packers
1934,Curly Lambeau,13,7,6,0,0.538,0,0,0,,,,Packers
1933,Curly Lambeau,13,5,7,1,0.417,0,0,0,,,,Packers
1932,Curly Lambeau,14,10,3,1,0.769,0,0,0,,,,Packers
1931,Curly Lambeau,14,12,2,0,0.857,0,0,0,Won Champ,,,Packers
1930,Curly Lambeau,14,10,3,1,0.769,0,0,0,Won Champ,,,Packers
1929,Curly Lambeau,13,12,0,1,1,0,0,0,Won Champ,,,Packers
1928,Curly Lambeau,13,6,4,3,0.6,0,0,0,,,,Packers
1927,Curly Lambeau,10,7,2,1,0.778,0,0,0,,,,Packers
1926,Curly Lambeau,13,7,3,3,0.7,0,0,0,,,,Packers
1925,Curly Lambeau,13,8,5,0,0.615,0,0,0,,,,Packers
1924,Curly Lambeau,11,7,4,0,0.636,0,0,0,,,,Packers
1923,Curly Lambeau,10,7,2,1,0.778,0,0,0,,,,Packers
1922,Curly Lambeau,10,4,3,3,0.571,0,0,0,,,,Packers
1921,Curly Lambeau,6,3,2,1,0.6,0,0,0,,,,Packers
2018,Sean McVay,16,13,3,0,0.813,3,2,1,Lost SB,,Wade Phillips,Rams
2017,Sean McVay,16,11,5,0,0.688,1,0,1,Lost WC,Matt LaFleur,Wade Phillips,Rams
2016,John Fassel,3,0,3,0,0,,,,,Rob Boras,Gregg Williams,Rams
,Jeff Fisher,13,4,9,0,0.308,0,0,0,,Rob Boras,Gregg Williams,Rams
2015,Jeff Fisher,16,7,9,0,0.438,,,,,"Rob Boras, Frank Cignetti",Gregg Williams,Rams
2014,Jeff Fisher,16,6,10,0,0.375,0,0,0,,Brian Schottenheimer,Gregg Williams,Rams
2013,Jeff Fisher,16,7,9,0,0.438,0,0,0,,Brian Schottenheimer,Tim Walton,Rams
2012,Jeff Fisher,16,7,8,1,0.469,0,0,0,,Brian Schottenheimer,,Rams
2011,Steve Spagnuolo,16,2,14,0,0.125,0,0,0,,Josh McDaniels,Ken Flajole,Rams
2010,Steve Spagnuolo,16,7,9,0,0.438,0,0,0,,Pat Shurmur,Ken Flajole,Rams
2009,Steve Spagnuolo,16,1,15,0,0.063,0,0,0,,Pat Shurmur,Ken Flajole,Rams
2008,Jim Haslett,12,2,10,0,0.167,0,0,0,,Al Saunders,Rick Venturi,Rams
,Scott Linehan,4,0,4,0,0,0,0,0,,Al Saunders,"Jim Haslett, Rick Venturi",Rams
2007,Scott Linehan,16,3,13,0,0.188,0,0,0,,Greg Olson,Jim Haslett,Rams
2006,Scott Linehan,16,8,8,0,0.5,0,0,0,,Greg Olson,Jim Haslett,Rams
2005,Joe Vitt,11,4,7,0,0.364,0,0,0,,Steve Fairchild,Larry Marmie,Rams
,Mike Martz,5,2,3,0,0.4,0,0,0,,Steve Fairchild,Larry Marmie,Rams
2004,Mike Martz,16,8,8,0,0.5,2,1,1,Lost Div,Steve Fairchild,Larry Marmie,Rams
2003,Mike Martz,16,12,4,0,0.75,1,0,1,Lost Div,Steve Fairchild,Lovie Smith,Rams
2002,Mike Martz,16,7,9,0,0.438,0,0,0,,Bobby Jackson,Lovie Smith,Rams
2001,Mike Martz,16,14,2,0,0.875,3,2,1,Lost SB,Bobby Jackson,Lovie Smith,Rams
